#R[cm]          y[R_S0]         x        tau
1.73319923e+15  0.00211814264  1  1.90734863e-06
1.74895558e+15  0.00213739848  1  1.90734863e-06
1.76471194e+15  0.00215665433  1  1.90734863e-06
1.7804683e+15  0.00217591017  1  1.90734863e-06
1.79622465e+15  0.00219516601  1  1.90734863e-06
1.81198101e+15  0.00221442185  1  1.90734863e-06
1.82773737e+15  0.0022336777  1  1.90734863e-06
1.84349372e+15  0.00225293354  1  1.90734863e-06
1.85925008e+15  0.00227218938  1  1.90734863e-06
1.87500644e+15  0.00229144522  1  1.90734863e-06
1.89076279e+15  0.00231070106  1  1.90734863e-06
1.90651915e+15  0.00232995691  1  1.90734863e-06
1.92227551e+15  0.00234921275  1  1.90734863e-06
1.93803186e+15  0.00236846859  1  1.90734863e-06
1.95378822e+15  0.00238772443  1  1.90734863e-06
1.96954458e+15  0.00240698027  1  1.90734863e-06
1.98530093e+15  0.00242623612  1  1.90734863e-06
2.00105729e+15  0.00244549196  1  1.90734863e-06
2.01681365e+15  0.0024647478  1  1.90734863e-06
2.03257e+15  0.00248400364  1  1.90734863e-06
2.04832636e+15  0.00250325949  1  1.90734863e-06
2.06408272e+15  0.00252251533  1  1.90734863e-06
2.07983907e+15  0.00254177117  1  1.90734863e-06
2.09559543e+15  0.00256102701  1  1.90734863e-06
2.11135179e+15  0.00258028285  1  1.90734863e-06
2.12710814e+15  0.0025995387  1  1.90734863e-06
2.1428645e+15  0.00261879454  1  1.90734863e-06
2.15862086e+15  0.00263805038  1  1.90734863e-06
2.17437721e+15  0.00265730622  1  1.90734863e-06
2.19013357e+15  0.00267656207  1  1.90734863e-06
2.20588993e+15  0.00269581791  1  1.90734863e-06
2.22164628e+15  0.00271507375  1  1.90734863e-06
2.23740264e+15  0.00273432959  1  1.90734863e-06
2.253159e+15  0.00275358543  1  1.90734863e-06
2.26891535e+15  0.00277284128  1  1.90734863e-06
2.28467171e+15  0.00279209712  1  1.90734863e-06
2.30042807e+15  0.00281135296  1  1.90734863e-06
2.31618442e+15  0.0028306088  1  1.90734863e-06
2.33194078e+15  0.00284986465  1  1.90734863e-06
2.34769714e+15  0.00286912049  1  1.90734863e-06
2.36345349e+15  0.00288837633  1  1.90734863e-06
2.37920985e+15  0.00290763217  1  1.90734863e-06
2.39496621e+15  0.00292688801  1  1.90734863e-06
2.41072256e+15  0.00294614386  1  1.90734863e-06
2.42647892e+15  0.0029653997  1  1.90734863e-06
2.44223528e+15  0.00298465554  1  1.90734863e-06
2.45799163e+15  0.00300391138  1  1.90734863e-06
2.47374799e+15  0.00302316723  1  1.90734863e-06
2.48950435e+15  0.00304242307  1  1.90734863e-06
2.5052607e+15  0.00306167891  1  1.90734863e-06
2.52101706e+15  0.00308093475  1  1.90734863e-06
2.53677342e+15  0.00310019059  1  1.90734863e-06
2.55252977e+15  0.00311944644  1  1.90734863e-06
2.56828613e+15  0.00313870228  1  1.90734863e-06
2.58404248e+15  0.00315795812  1  1.90734863e-06
2.59979884e+15  0.00317721396  1  1.90734863e-06
2.6155552e+15  0.00319646981  1  1.90734863e-06
2.63131155e+15  0.00321572565  1  1.90734863e-06
2.64706791e+15  0.00323498149  1  1.90734863e-06
2.66282427e+15  0.00325423733  1  1.90734863e-06
2.67858062e+15  0.00327349317  1  1.90734863e-06
2.69433698e+15  0.00329274902  1  1.90734863e-06
2.71009334e+15  0.00331200486  1  1.90734863e-06
2.72584969e+15  0.0033312607  1.00000006  1.87754631e-06
2.74160605e+15  0.00335051654  1  1.87754631e-06
2.75736241e+15  0.00336977238  1  1.87754631e-06
2.77311876e+15  0.00338902823  1  1.87754631e-06
2.78887512e+15  0.00340828407  1  1.87754631e-06
2.80463148e+15  0.00342753991  1  1.87754631e-06
2.82038783e+15  0.00344679575  1  1.87754631e-06
2.83614419e+15  0.0034660516  1  1.87754631e-06
2.85190055e+15  0.00348530744  1  1.87754631e-06
2.8676569e+15  0.00350456328  1  1.87754631e-06
2.88341326e+15  0.00352381912  1  1.87754631e-06
2.89916962e+15  0.00354307496  1  1.87754631e-06
2.91492597e+15  0.00356233081  1  1.87754631e-06
2.93068233e+15  0.00358158665  1  1.87754631e-06
2.94643869e+15  0.00360084249  1  1.87754631e-06
2.96219504e+15  0.00362009833  1  1.87754631e-06
2.9779514e+15  0.00363935418  1  1.87754631e-06
2.99370776e+15  0.00365861002  1  1.87754631e-06
3.00946411e+15  0.00367786586  1  1.87754631e-06
3.02522047e+15  0.0036971217  1  1.87754631e-06
3.04097683e+15  0.00371637754  1  1.87754631e-06
3.05673318e+15  0.00373563339  1  1.87754631e-06
3.07248954e+15  0.00375488923  1  1.87754631e-06
3.0882459e+15  0.00377414507  1  1.87754631e-06
3.10400225e+15  0.00379340091  1  1.87754631e-06
3.11975861e+15  0.00381265676  1  1.87754631e-06
3.13551497e+15  0.0038319126  1  1.87754631e-06
3.15127132e+15  0.00385116844  1  1.87754631e-06
3.16702768e+15  0.00387042428  1  1.87754631e-06
3.18278404e+15  0.00388968012  1  1.87754631e-06
3.19854039e+15  0.00390893597  1  1.87754631e-06
3.21429675e+15  0.00392819181  1  1.87754631e-06
3.23005311e+15  0.00394744765  1  1.87754631e-06
3.24580946e+15  0.00396670349  1  1.87754631e-06
3.26156582e+15  0.00398595934  1  1.87754631e-06
